,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
299,1,4,310,20001116,HEAT Rebound,,1:14,3,2,0,0,1610612748,,,,,,0,,,,,,0,,,,,,,,,1:53 PM
300,12,3,311,20001116,Mason Free Throw 2 of 2 (7 PTS),,1:14,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,52 - 55,3,,1:53 PM
301,1,1,312,20001116,,,1:03,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,54 - 55,1,Iverson 15' Jump Shot (24 PTS),1:54 PM
302,1,2,313,20001116,MISS Hardaway 24' 3PT Jump Shot,,0:53,3,4,0,0,896,Tim Hardaway,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:54 PM
303,0,4,314,20001116,Mason REBOUND (Off:1 Def:8),,0:51,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:54 PM
304,1,5,315,20001116,Mason Bad Pass Turnover (P3.T9),,0:47,3,4,5,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,238,Tyrone Hill,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,Hill STEAL (1 STL),1:54 PM
305,1,2,316,20001116,,,0:36,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Iverson 12' Jump Shot,1:54 PM
306,0,4,317,20001116,,,0:34,3,5,0,0,248,George Lynch,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,Lynch REBOUND (Off:1 Def:5),1:54 PM
307,1,2,318,20001116,,,0:15,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Iverson 14' Jump Shot,1:54 PM
308,0,4,319,20001116,Mourning REBOUND (Off:3 Def:8),,0:12,3,4,0,0,297,Alonzo Mourning,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:55 PM
309,2,5,320,20001116,Carter Lost Ball Turnover (P2.T10),,0:10,3,4,5,0,1853,Anthony Carter,MIA,Miami,1610612748,Heat,1934,Rodney Buford,PHI,Philadelphia,1610612755,76ers,0,,,,,,,,Buford STEAL (1 STL),1:55 PM
310,1,2,321,20001116,,,0:02,3,5,0,0,947,Allen Iverson,PHI,Philadelphia,1610612755,76ers,0,,,,,,0,,,,,,,,MISS Iverson 17' Jump Shot,1:55 PM
311,0,4,322,20001116,Mason REBOUND (Off:1 Def:9),,0:00,3,4,0,0,193,Anthony Mason,MIA,Miami,1610612748,Heat,0,,,,,,0,,,,,,,,,1:55 PM
